SofS,c02,chc02_e10,"May 13, 1847",I hate ships as much as I hate steamers.
SofS,c03,chc03_e12,"June 16, 1847",The ship is moving so slowly that a man ashore could surely make faster progress.
SofS,c03,chc03_e12,"June 16, 1847","But we are in Canada, and from the ship can see hills and woods and neat little farmhouses at the river’s edge."
SofS,c03,chc03_e14,"June 18, 1847","We have reached Quebec City, which is on the north shore of the St. Lawrence River, and the captain has ordered a general cleanup."
SofS,c03,chc03_e14,"June 18, 1847",He says that the government of Canada will send an inspector to the ship.
SofS,c03,chc03_e14,"June 18, 1847","Because we have had the fever on board, those who are unwell will be sent to a hospital on the island called Grosse Isle, which lies just off Quebec."
SofS,c03,chc03_e14,"June 18, 1847",Those who are well will be quarantined.
SofS,c03,chc03_e14,"June 18, 1847",The captain could not say how long the quarantine will last.
SofS,c03,chc03_e14,"June 18, 1847","For my part, I cannot wait to get off this ship."
SofS,c03,chc03_e14,"June 18, 1847","We are fewer than when we boarded, but Da says that those of us who are still standing must carry on."
SofS,c07,chc07_e15,"October 28, 1847",Fanny came over today to lighten the workload and brighten the mood of the house.
SofS,c07,chc07_e15,"October 28, 1847",Here is something I did not know about her.
SofS,c07,chc07_e15,"October 28, 1847","Not only does she love to sing, but she has a beautiful voice!"
SofS,c07,chc07_e15,"October 28, 1847","She taught Lucy and me some songs with different parts, and when we sang them together, Fanny taking one part and Lucy and I the other, Mrs. Hall declared that we sounded like a choir of angels."
SofS,c07,chc07_e15,"October 28, 1847","She even joined in, taking a third part, when we sang the song again."
SofS,c07,chc07_e15,"October 28, 1847",It was the happiest day the house has seen in a long time.